imagenet_label	wordnet_id	imagenet_a_label	name
0	1440764	n01440764	tench, Tinca tinca
1	1443537	n01443537	goldfish, Carassius auratus
2	1484850	n01484850	great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias
3	1491361	n01491361	tiger shark, Galeocerdo cuvieri
4	1494475	n01494475	hammerhead, hammerhead shark
5	1496331	n01496331	electric ray, crampfish, numbfish, torpedo
6	1498041	n01498041	stingray
7	1514668	n01514668	cock
8	1514859	n01514859	hen
9	1518878	n01518878	ostrich, Struthio camelus
10	1530575	n01530575	brambling, Fringilla montifringilla
11	1531178	n01531178	goldfinch, Carduelis carduelis
12	1532829	n01532829	house finch, linnet, Carpodacus mexicanus
13	1534433	n01534433	junco, snowbird
14	1537544	n01537544	indigo bunting, indigo finch, indigo bird, Passerina cyanea
15	1558993	n01558993	robin, American robin, Turdus migratorius
16	1560419	n01560419	bulbul
17	1580077	n01580077	jay
18	1582220	n01582220	magpie
19	1592084	n01592084	chickadee
20	1601694	n01601694	water ouzel, dipper
21	1608432	n01608432	kite
22	1614925	n01614925	bald eagle, American eagle, Haliaeetus leucocephalus
23	1616318	n01616318	vulture
24	1622779	n01622779	great grey owl, great gray owl, Strix nebulosa
25	1629819	n01629819	European fire salamander, Salamandra salamandra
26	1630670	n01630670	common newt, Triturus vulgaris
27	1631663	n01631663	eft
28	1632458	n01632458	spotted salamander, Ambystoma maculatum
29	1632777	n01632777	axolotl, mud puppy, Ambystoma mexicanum
30	1641577	n01641577	bullfrog, Rana catesbeiana
31	1644373	n01644373	tree frog, tree-frog
32	1644900	n01644900	tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui
33	1664065	n01664065	loggerhead, loggerhead turtle, Caretta caretta
34	1665541	n01665541	leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea
35	1667114	n01667114	mud turtle
36	1667778	n01667778	terrapin
37	1669191	n01669191	box turtle, box tortoise
38	1675722	n01675722	banded gecko
39	1677366	n01677366	common iguana, iguana, Iguana iguana
40	1682714	n01682714	American chameleon, anole, Anolis carolinensis
41	1685808	n01685808	whiptail, whiptail lizard
42	1687978	n01687978	agama
43	1688243	n01688243	frilled lizard, Chlamydosaurus kingi
44	1689811	n01689811	alligator lizard
45	1692333	n01692333	Gila monster, Heloderma suspectum
46	1693334	n01693334	green lizard, Lacerta viridis
47	1694178	n01694178	African chameleon, Chamaeleo chamaeleon
48	1695060	n01695060	Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis
49	1697457	n01697457	African crocodile, Nile crocodile, Crocodylus niloticus
50	1698640	n01698640	American alligator, Alligator mississipiensis
51	1704323	n01704323	triceratops
52	1728572	n01728572	thunder snake, worm snake, Carphophis amoenus
53	1728920	n01728920	ringneck snake, ring-necked snake, ring snake
54	1729322	n01729322	hognose snake, puff adder, sand viper
55	1729977	n01729977	green snake, grass snake
56	1734418	n01734418	king snake, kingsnake
57	1735189	n01735189	garter snake, grass snake
58	1737021	n01737021	water snake
59	1739381	n01739381	vine snake
60	1740131	n01740131	night snake, Hypsiglena torquata
61	1742172	n01742172	boa constrictor, Constrictor constrictor
62	1744401	n01744401	rock python, rock snake, Python sebae
63	1748264	n01748264	Indian cobra, Naja naja
64	1749939	n01749939	green mamba
65	1751748	n01751748	sea snake
66	1753488	n01753488	horned viper, cerastes, sand viper, horned asp, Cerastes cornutus
67	1755581	n01755581	diamondback, diamondback rattlesnake, Crotalus adamanteus
68	1756291	n01756291	sidewinder, horned rattlesnake, Crotalus cerastes
69	1768244	n01768244	trilobite
70	1770081	n01770081	harvestman, daddy longlegs, Phalangium opilio
71	1770393	n01770393	scorpion
72	1773157	n01773157	black and gold garden spider, Argiope aurantia
73	1773549	n01773549	barn spider, Araneus cavaticus
74	1773797	n01773797	garden spider, Aranea diademata
75	1774384	n01774384	black widow, Latrodectus mactans
76	1774750	n01774750	tarantula
77	1775062	n01775062	wolf spider, hunting spider
78	1776313	n01776313	tick
79	1784675	n01784675	centipede
80	1795545	n01795545	black grouse
81	1796340	n01796340	ptarmigan
82	1797886	n01797886	ruffed grouse, partridge, Bonasa umbellus
83	1798484	n01798484	prairie chicken, prairie grouse, prairie fowl
84	1806143	n01806143	peacock
85	1806567	n01806567	quail
86	1807496	n01807496	partridge
87	1817953	n01817953	African grey, African gray, Psittacus erithacus
88	1818515	n01818515	macaw
89	1819313	n01819313	sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita
90	1820546	n01820546	lorikeet
91	1824575	n01824575	coucal
92	1828970	n01828970	bee eater
93	1829413	n01829413	hornbill
94	1833805	n01833805	hummingbird
95	1843065	n01843065	jacamar
96	1843383	n01843383	toucan
97	1847000	n01847000	drake
98	1855032	n01855032	red-breasted merganser, Mergus serrator
99	1855672	n01855672	goose
